Nama Broker,Kode Broker,Nama Emiten,Nama Perusahaan,Tanggal,Buy Value,Buy Lot,Buy Avg,Sell Value,Sell Lot,Sell Avg,Open Price,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Persentase Selisih
BRI Danareksa Sekuritas,OD,PSKT,Red Planet Indonesia Tbk.,1/29/2026,2.3B,90.218,255,588.1M,23.219,253,284.0,294.0,304.0,252.0,278.0,-18.0,-6.47%
MANDIRI SEKURITAS,CC,PSKT,Red Planet Indonesia Tbk.,1/30/2026,1.3B,47.106,271,3.1B,108.86,283,288.0,288.0,304.0,258.0,268.0,-10.0,-3.73%
BNI Sekuritas,NI,PSKT,Red Planet Indonesia Tbk.,1/30/2026,779.5M,29.107,268,,,,288.0,288.0,304.0,258.0,268.0,-10.0,-3.73%
MANDIRI SEKURITAS,CC,PSKT,Red Planet Indonesia Tbk.,2/2/2026,1.7B,70.319,235,487.8M,21.107,231,268.0,268.0,268.0,228.0,228.0,-40.0,-17.54%
BNI Sekuritas,NI,PSKT,Red Planet Indonesia Tbk.,2/2/2026,335.4M,14.7,228,,,,268.0,268.0,268.0,228.0,228.0,-40.0,-17.54%
BRI Danareksa Sekuritas,OD,PSKT,Red Planet Indonesia Tbk.,2/2/2026,8B,351.841,228,,,,268.0,268.0,268.0,228.0,228.0,-40.0,-17.54%
MANDIRI SEKURITAS,CC,PTIS,Indo Straits Tbk.,1/28/2026,49.1M,"1,403",350,50.9M,"1,491",342,326.0,326.0,374.0,278.0,288.0,-38.0,-13.19%
BNI Sekuritas,NI,PTIS,Indo Straits Tbk.,1/28/2026,12.6M,348,362,11M,345,319,326.0,326.0,374.0,278.0,288.0,-38.0,-13.19%
BRI Danareksa Sekuritas,OD,PTIS,Indo Straits Tbk.,1/28/2026,2.3M,75,311,1.8M,52,354,326.0,326.0,374.0,278.0,288.0,-38.0,-13.19%
MANDIRI SEKURITAS,CC,PTIS,Indo Straits Tbk.,1/29/2026,1.4M,52,269,7.8M,311,250,300.0,298.0,300.0,246.0,254.0,-34.0,-13.39%
BNI Sekuritas,NI,PTIS,Indo Straits Tbk.,1/29/2026,7.2M,260,278,,,,300.0,298.0,300.0,246.0,254.0,-34.0,-13.39%
BRI Danareksa Sekuritas,OD,PTIS,Indo Straits Tbk.,1/29/2026,,,,26.8M,"1,089",246,300.0,298.0,300.0,246.0,254.0,-34.0,-13.39%
MANDIRI SEKURITAS,CC,PTIS,Indo Straits Tbk.,1/30/2026,166K,6,277,347.4K,12,290,0.0,0.0,294.0,254.0,272.0,18.0,6.62%
BNI Sekuritas,NI,PTIS,Indo Straits Tbk.,1/30/2026,544K,20,272,,,,0.0,0.0,294.0,254.0,272.0,18.0,6.62%
BRI Danareksa Sekuritas,OD,PTIS,Indo Straits Tbk.,1/30/2026,311K,11,283,,,,0.0,0.0,294.0,254.0,272.0,18.0,6.62%
MANDIRI SEKURITAS,CC,PTIS,Indo Straits Tbk.,2/2/2026,30.4M,963,315,15.7M,506,310,272.0,282.0,340.0,232.0,238.0,-34.0,-14.29%
BNI Sekuritas,NI,PTIS,Indo Straits Tbk.,2/2/2026,7.5M,252,299,9.7M,311,312,272.0,282.0,340.0,232.0,238.0,-34.0,-14.29%
BRI Danareksa Sekuritas,OD,PTIS,Indo Straits Tbk.,2/2/2026,,,,1.2M,44,263,272.0,282.0,340.0,232.0,238.0,-34.0,-14.29%
MANDIRI SEKURITAS,CC,PTRO,Petrosea Tbk.,1/28/2026,12.3B,16.86,7.3,22.7B,31.101,7.3,7300.0,7300.0,7300.0,7300.0,7300.0,-1275.0,-17.47%
BNI Sekuritas,NI,PTRO,Petrosea Tbk.,1/28/2026,3.7B,5.112,7.3,3.4B,4.66,7.3,7300.0,7300.0,7300.0,7300.0,7300.0,-1275.0,-17.47%
BRI Danareksa Sekuritas,OD,PTRO,Petrosea Tbk.,1/28/2026,7B,9.652,7.3,,,,7300.0,7300.0,7300.0,7300.0,7300.0,-1275.0,-17.47%
MANDIRI SEKURITAS,CC,PTRO,Petrosea Tbk.,1/29/2026,129.2B,185.821,6.953,116.9B,167.584,6.976,6225.0,6225.0,8200.0,6225.0,7500.0,200.0,2.67%
BNI Sekuritas,NI,PTRO,Petrosea Tbk.,1/29/2026,339.6B,539.143,6.3,,,,6225.0,6225.0,8200.0,6225.0,7500.0,200.0,2.67%
MANDIRI SEKURITAS,CC,PTRO,Petrosea Tbk.,1/30/2026,44.7B,60.457,7.39,100.7B,135.55,7.431,7700.0,7725.0,8075.0,6925.0,7050.0,-450.0,-6.38%
BNI Sekuritas,NI,PTRO,Petrosea Tbk.,1/30/2026,18.1B,24.583,7.351,,,,7700.0,7725.0,8075.0,6925.0,7050.0,-450.0,-6.38%
BRI Danareksa Sekuritas,OD,PTRO,Petrosea Tbk.,1/30/2026,16.2B,21.915,7.415,,,,7700.0,7725.0,8075.0,6925.0,7050.0,-450.0,-6.38%
MANDIRI SEKURITAS,CC,PTRO,Petrosea Tbk.,2/2/2026,66B,107.194,6.153,36.4B,59.219,6.154,7075.0,7075.0,7100.0,6000.0,6000.0,-1050.0,-17.50%
BNI Sekuritas,NI,PTRO,Petrosea Tbk.,2/2/2026,16.1B,26.663,6.053,,,,7075.0,7075.0,7100.0,6000.0,6000.0,-1050.0,-17.50%
BRI Danareksa Sekuritas,OD,PTRO,Petrosea Tbk.,2/2/2026,13.4B,22.157,6.056,,,,7075.0,7075.0,7100.0,6000.0,6000.0,-1050.0,-17.50%
MANDIRI SEKURITAS,CC,PURI,Puri Global Sukses Tbk.,1/28/2026,238.4M,"10,829",220,24.9M,"1,092",228,250.0,258.0,258.0,212.0,212.0,-36.0,-16.98%
BNI Sekuritas,NI,PURI,Puri Global Sukses Tbk.,1/28/2026,37.8M,"1,706",222,,,,250.0,258.0,258.0,212.0,212.0,-36.0,-16.98%
BRI Danareksa Sekuritas,OD,PURI,Puri Global Sukses Tbk.,1/28/2026,12.2M,535,227,,,,250.0,258.0,258.0,212.0,212.0,-36.0,-16.98%
MANDIRI SEKURITAS,CC,PURI,Puri Global Sukses Tbk.,1/29/2026,137.9M,"7,085",195,86.2M,"4,388",196,208.0,208.0,212.0,181.0,200.0,-12.0,-6.00%
BNI Sekuritas,NI,PURI,Puri Global Sukses Tbk.,1/29/2026,,,,7M,385,183,208.0,208.0,212.0,181.0,200.0,-12.0,-6.00%
BRI Danareksa Sekuritas,OD,PURI,Puri Global Sukses Tbk.,1/29/2026,79.4M,"3,960",201,40.7M,"2,139",190,208.0,208.0,212.0,181.0,200.0,-12.0,-6.00%
MANDIRI SEKURITAS,CC,PURI,Puri Global Sukses Tbk.,1/30/2026,48.8M,"2,331",209,36.4M,"1,666",218,202.0,202.0,230.0,202.0,206.0,6.0,2.91%
BNI Sekuritas,NI,PURI,Puri Global Sukses Tbk.,1/30/2026,8.4M,394,212,41.9M,"2,036",206,202.0,202.0,230.0,202.0,206.0,6.0,2.91%
BRI Danareksa Sekuritas,OD,PURI,Puri Global Sukses Tbk.,1/30/2026,,,,1.1M,54,209,202.0,202.0,230.0,202.0,206.0,6.0,2.91%
MANDIRI SEKURITAS,CC,PURI,Puri Global Sukses Tbk.,2/2/2026,44.3M,"2,367",187,1.8M,101,181,208.0,210.0,230.0,176.0,176.0,-30.0,-17.05%
BNI Sekuritas,NI,PURI,Puri Global Sukses Tbk.,2/2/2026,8.5M,434,196,56.2M,"3,064",183,208.0,210.0,230.0,176.0,176.0,-30.0,-17.05%
BRI Danareksa Sekuritas,OD,PURI,Puri Global Sukses Tbk.,2/2/2026,4M,211,188,,,,208.0,210.0,230.0,176.0,176.0,-30.0,-17.05%
BNI Sekuritas,NI,RAFI,Sari Kreasi Boga Tbk.,1/28/2026,4.5M,1.003,45,,,,0.0,0.0,45.0,45.0,45.0,-5.0,-11.11%
BRI Danareksa Sekuritas,OD,RAFI,Sari Kreasi Boga Tbk.,1/28/2026,,,,6.5M,1.448,45,0.0,0.0,45.0,45.0,45.0,-5.0,-11.11%
MANDIRI SEKURITAS,CC,RAFI,Sari Kreasi Boga Tbk.,1/29/2026,2.7M,656,41,4.8M,1.167,41,0.0,0.0,44.0,41.0,41.0,-4.0,-9.76%
BNI Sekuritas,NI,RAFI,Sari Kreasi Boga Tbk.,1/29/2026,5.1M,1.241,41,127.1K,31,41,0.0,0.0,44.0,41.0,41.0,-4.0,-9.76%
BRI Danareksa Sekuritas,OD,RAFI,Sari Kreasi Boga Tbk.,1/29/2026,1M,250,41,30M,7.317,41,0.0,0.0,44.0,41.0,41.0,-4.0,-9.76%
MANDIRI SEKURITAS,CC,RAFI,Sari Kreasi Boga Tbk.,1/30/2026,205K,50,41,22.3M,5.439,41,0.0,0.0,41.0,38.0,41.0,0.0,0.00%
BNI Sekuritas,NI,RAFI,Sari Kreasi Boga Tbk.,1/30/2026,7.4M,1.805,41,448.4K,118,38,0.0,0.0,41.0,38.0,41.0,0.0,0.00%
BRI Danareksa Sekuritas,OD,RAFI,Sari Kreasi Boga Tbk.,1/30/2026,30.8M,7.52,41,,,,0.0,0.0,41.0,38.0,41.0,0.0,0.00%
MANDIRI SEKURITAS,CC,RAFI,Sari Kreasi Boga Tbk.,2/2/2026,95K,25,38,3M,800,37,0.0,0.0,41.0,37.0,37.0,-4.0,-10.81%
BNI Sekuritas,NI,RAFI,Sari Kreasi Boga Tbk.,2/2/2026,4.7M,1.25,38,,,,0.0,0.0,41.0,37.0,37.0,-4.0,-10.81%
MANDIRI SEKURITAS,CC,RAFI,,2/3/2026,442K,130,34,60M,15.79,38,,,,,,,
BNI Sekuritas,NI,RAFI,,2/3/2026,418K,110,38,,,,,,,,,,
MANDIRI SEKURITAS,CC,RAFI,,2/4/2026,442K,130,34,60M,15.79,38,,,,,,,
BNI Sekuritas,NI,RAFI,,2/4/2026,418K,110,38,,,,,,,,,,
MANDIRI SEKURITAS,CC,RAJA,Rukun Raharja Tbk.,1/28/2026,42.8B,92.1,4.642,21.3B,46.147,4.624,4590.0,4590.0,4780.0,4590.0,4590.0,-810.0,-17.65%
BNI Sekuritas,NI,RAJA,Rukun Raharja Tbk.,1/28/2026,13B,28.154,4.614,,,,4590.0,4590.0,4780.0,4590.0,4590.0,-810.0,-17.65%
BRI Danareksa Sekuritas,OD,RAJA,Rukun Raharja Tbk.,1/28/2026,10B,21.674,4.61,,,,4590.0,4590.0,4780.0,4590.0,4590.0,-810.0,-17.65%
MANDIRI SEKURITAS,CC,RAJA,Rukun Raharja Tbk.,1/29/2026,75.8B,183.369,4.135,53.8B,127.337,4.228,3910.0,3910.0,4650.0,3910.0,4430.0,-160.0,-3.61%
BNI Sekuritas,NI,RAJA,Rukun Raharja Tbk.,1/29/2026,32.6B,82.245,3.969,,,,3910.0,3910.0,4650.0,3910.0,4430.0,-160.0,-3.61%
BRI Danareksa Sekuritas,OD,RAJA,Rukun Raharja Tbk.,1/29/2026,14.3B,35.94,3.986,,,,3910.0,3910.0,4650.0,3910.0,4430.0,-160.0,-3.61%
MANDIRI SEKURITAS,CC,RAJA,Rukun Raharja Tbk.,1/30/2026,31.1B,69.452,4.474,43.4B,96.735,4.483,4600.0,4600.0,4770.0,4230.0,4320.0,-110.0,-2.55%
BNI Sekuritas,NI,RAJA,Rukun Raharja Tbk.,1/30/2026,6.8B,15.325,4.458,13.8B,31.093,4.434,4600.0,4600.0,4770.0,4230.0,4320.0,-110.0,-2.55%
MANDIRI SEKURITAS,CC,RAJA,Rukun Raharja Tbk.,2/2/2026,40.5B,107.272,3.772,23.9B,63.011,3.792,4320.0,4320.0,4320.0,3680.0,3680.0,-640.0,-17.39%
BNI Sekuritas,NI,RAJA,Rukun Raharja Tbk.,2/2/2026,9.5B,25.392,3.727,11.8B,31.627,3.73,4320.0,4320.0,4320.0,3680.0,3680.0,-640.0,-17.39%
BRI Danareksa Sekuritas,OD,RAJA,Rukun Raharja Tbk.,2/2/2026,9.4B,25.34,3.706,,,,4320.0,4320.0,4320.0,3680.0,3680.0,-640.0,-17.39%
MANDIRI SEKURITAS,CC,RATU,Raharja Energi Cepu Tbk.,1/28/2026,15.8B,24.865,6.349,7.3B,11.423,6.418,6250.0,6250.0,6775.0,6250.0,6250.0,-1100.0,-17.60%
BNI Sekuritas,NI,RATU,Raharja Energi Cepu Tbk.,1/28/2026,4.6B,7.313,6.285,,,,6250.0,6250.0,6775.0,6250.0,6250.0,-1100.0,-17.60%
BRI Danareksa Sekuritas,OD,RATU,Raharja Energi Cepu Tbk.,1/28/2026,7.3B,11.597,6.274,,,,6250.0,6250.0,6775.0,6250.0,6250.0,-1100.0,-17.60%
MANDIRI SEKURITAS,CC,RATU,Raharja Energi Cepu Tbk.,1/29/2026,24.8B,44.355,5.601,18.8B,32.404,5.797,5600.0,5600.0,6250.0,5325.0,5975.0,-275.0,-4.60%
BNI Sekuritas,NI,RATU,Raharja Energi Cepu Tbk.,1/29/2026,,,,7B,12.128,5.733,5600.0,5600.0,6250.0,5325.0,5975.0,-275.0,-4.60%
BRI Danareksa Sekuritas,OD,RATU,Raharja Energi Cepu Tbk.,1/29/2026,6B,11.02,5.475,,,,5600.0,5600.0,6250.0,5325.0,5975.0,-275.0,-4.60%
MANDIRI SEKURITAS,CC,RATU,Raharja Energi Cepu Tbk.,1/30/2026,7.8B,13.15,5.93,21.5B,36.366,5.92,6150.0,6175.0,6275.0,5550.0,5725.0,-250.0,-4.37%
BNI Sekuritas,NI,RATU,Raharja Energi Cepu Tbk.,1/30/2026,4.9B,8.298,5.858,6.4B,10.796,5.931,6150.0,6175.0,6275.0,5550.0,5725.0,-250.0,-4.37%
MANDIRI SEKURITAS,CC,RATU,Raharja Energi Cepu Tbk.,2/2/2026,17.4B,34.691,5.017,7.5B,15.054,4.994,5750.0,5775.0,5775.0,4870.0,4870.0,-855.0,-17.56%
BNI Sekuritas,NI,RATU,Raharja Energi Cepu Tbk.,2/2/2026,3.1B,6.325,4.924,4.5B,9.102,4.938,5750.0,5775.0,5775.0,4870.0,4870.0,-855.0,-17.56%
BRI Danareksa Sekuritas,OD,RATU,Raharja Energi Cepu Tbk.,2/2/2026,7.6B,15.541,4.903,,,,5750.0,5775.0,5775.0,4870.0,4870.0,-855.0,-17.56%
MANDIRI SEKURITAS,CC,RISE,Jaya Sukses Makmur Sentosa Tbk.,1/28/2026,676.1M,"1,355","4,989",321.9M,593,"5,428",4960.0,4960.0,5950.0,4960.0,5950.0,125.0,2.10%
BNI Sekuritas,NI,RISE,Jaya Sukses Makmur Sentosa Tbk.,1/28/2026,94.4M,190,"4,970",212.2M,419,"5,064",4960.0,4960.0,5950.0,4960.0,5950.0,125.0,2.10%
MANDIRI SEKURITAS,CC,RISE,Jaya Sukses Makmur Sentosa Tbk.,1/29/2026,1.8B,"3,423","5,171",804.7M,"1,384","5,814",5950.0,5950.0,6025.0,5075.0,5075.0,-875.0,-17.24%
MANDIRI SEKURITAS,CC,RISE,Jaya Sukses Makmur Sentosa Tbk.,1/30/2026,272.1M,538,"5,058",353.9M,701,"5,049",5075.0,5075.0,5250.0,4950.0,5025.0,-50.0,-1.00%
BNI Sekuritas,NI,RISE,Jaya Sukses Makmur Sentosa Tbk.,1/30/2026,14.6M,29,"5,020",7.9M,15,"5,233",5075.0,5075.0,5250.0,4950.0,5025.0,-50.0,-1.00%
MANDIRI SEKURITAS,CC,RISE,Jaya Sukses Makmur Sentosa Tbk.,2/2/2026,417.3M,951,"4,388",135.9M,286,"4,753",5350.0,5300.0,5350.0,4280.0,4280.0,-745.0,-17.41%
BNI Sekuritas,NI,RISE,Jaya Sukses Makmur Sentosa Tbk.,2/2/2026,,,,4.3M,8,"5,350",5350.0,5300.0,5350.0,4280.0,4280.0,-745.0,-17.41%
BRI Danareksa Sekuritas,OD,RISE,Jaya Sukses Makmur Sentosa Tbk.,2/2/2026,66.2M,152,"4,356",,,,5350.0,5300.0,5350.0,4280.0,4280.0,-745.0,-17.41%
MANDIRI SEKURITAS,CC,RMKE,RMK Energy Tbk.,1/28/2026,718.6M,1.093,6.575,9.3B,14.076,6.575,0.0,0.0,6575.0,6575.0,6575.0,-725.0,-11.03%
BNI Sekuritas,NI,RMKE,RMK Energy Tbk.,1/28/2026,172.3M,262,6.575,,,,0.0,0.0,6575.0,6575.0,6575.0,-725.0,-11.03%
MANDIRI SEKURITAS,CC,RMKE,RMK Energy Tbk.,1/29/2026,920.7M,1.554,5.925,1.2M,2,5.925,0.0,0.0,5925.0,5925.0,5925.0,-650.0,-10.97%
BNI Sekuritas,NI,RMKE,RMK Energy Tbk.,1/29/2026,688.5M,1.162,5.925,,,,0.0,0.0,5925.0,5925.0,5925.0,-650.0,-10.97%
BRI Danareksa Sekuritas,OD,RMKE,RMK Energy Tbk.,1/29/2026,,,,641.1M,1.082,5.925,0.0,0.0,5925.0,5925.0,5925.0,-650.0,-10.97%
MANDIRI SEKURITAS,CC,RMKE,RMK Energy Tbk.,1/30/2026,24B,46.758,5.123,15.3B,29.854,5.125,5050.0,5050.0,5400.0,5050.0,5050.0,-875.0,-17.33%
BNI Sekuritas,NI,RMKE,RMK Energy Tbk.,1/30/2026,68.1B,134.701,5.052,,,,5050.0,5050.0,5400.0,5050.0,5050.0,-875.0,-17.33%
BRI Danareksa Sekuritas,OD,RMKE,RMK Energy Tbk.,1/30/2026,,,,22.4B,44.346,5.057,5050.0,5050.0,5400.0,5050.0,5050.0,-875.0,-17.33%
MANDIRI SEKURITAS,CC,RMKE,RMK Energy Tbk.,2/2/2026,14B,31.617,4.422,10.9B,23.79,4.595,4630.0,4630.0,4930.0,4310.0,4830.0,-220.0,-4.55%
MANDIRI SEKURITAS,CC,RMKO,Royaltama Mulia Kontraktorindo Tbk.,1/28/2026,423.4M,3.232,1.31,,,,1310.0,1310.0,1310.0,1310.0,1310.0,-230.0,-17.56%
BNI Sekuritas,NI,RMKO,Royaltama Mulia Kontraktorindo Tbk.,1/28/2026,76.1M,581,1.31,,,,1310.0,1310.0,1310.0,1310.0,1310.0,-230.0,-17.56%
BRI Danareksa Sekuritas,OD,RMKO,Royaltama Mulia Kontraktorindo Tbk.,1/28/2026,22.7M,173,1.31,,,,1310.0,1310.0,1310.0,1310.0,1310.0,-230.0,-17.56%
MANDIRI SEKURITAS,CC,RMKO,Royaltama Mulia Kontraktorindo Tbk.,1/29/2026,7.6B,62.744,1.206,4.3B,37.291,1.158,1115.0,1115.0,1300.0,1115.0,1115.0,-195.0,-17.49%
BNI Sekuritas,NI,RMKO,Royaltama Mulia Kontraktorindo Tbk.,1/29/2026,6B,53.38,1.12,,,,1115.0,1115.0,1300.0,1115.0,1115.0,-195.0,-17.49%
BRI Danareksa Sekuritas,OD,RMKO,Royaltama Mulia Kontraktorindo Tbk.,1/29/2026,,,,917.6M,7.426,1.236,1115.0,1115.0,1300.0,1115.0,1115.0,-195.0,-17.49%
MANDIRI SEKURITAS,CC,RMKO,Royaltama Mulia Kontraktorindo Tbk.,1/30/2026,13.6B,128.245,1.059,12.3B,111.669,1.1,1110.0,1105.0,1210.0,955.0,1050.0,-65.0,-6.19%
BRI Danareksa Sekuritas,OD,RMKO,Royaltama Mulia Kontraktorindo Tbk.,1/30/2026,3.4B,31.196,1.092,,,,1110.0,1105.0,1210.0,955.0,1050.0,-65.0,-6.19%
MANDIRI SEKURITAS,CC,RMKO,Royaltama Mulia Kontraktorindo Tbk.,2/2/2026,589.9M,6.495,908,358M,3.727,960,1010.0,1020.0,1050.0,895.0,895.0,-155.0,-17.32%
BNI Sekuritas,NI,RMKO,Royaltama Mulia Kontraktorindo Tbk.,2/2/2026,460M,4.925,934,,,,1010.0,1020.0,1050.0,895.0,895.0,-155.0,-17.32%
MANDIRI SEKURITAS,CC,SCMA,Surya Citra Media Tbk.,1/28/2026,10.7B,390.353,275,2.7B,95.999,278,300.0,298.0,300.0,260.0,260.0,-44.0,-16.92%
BNI Sekuritas,NI,SCMA,Surya Citra Media Tbk.,1/28/2026,2.5B,91.817,277,,,,300.0,298.0,300.0,260.0,260.0,-44.0,-16.92%
MANDIRI SEKURITAS,CC,SCMA,Surya Citra Media Tbk.,1/29/2026,15.3B,646.423,237,12.3B,520.369,237,256.0,256.0,262.0,222.0,242.0,-18.0,-7.44%
BNI Sekuritas,NI,SCMA,Surya Citra Media Tbk.,1/29/2026,2.3B,100.589,233,13.4B,568.598,235,256.0,256.0,262.0,222.0,242.0,-18.0,-7.44%
MANDIRI SEKURITAS,CC,SCMA,Surya Citra Media Tbk.,1/30/2026,2.5B,102.399,245,4.1B,163.226,249,244.0,244.0,256.0,230.0,250.0,8.0,3.20%
BNI Sekuritas,NI,SCMA,Surya Citra Media Tbk.,1/30/2026,1.4B,55.099,245,573.1M,22.942,250,244.0,244.0,256.0,230.0,250.0,8.0,3.20%
MANDIRI SEKURITAS,CC,SCMA,Surya Citra Media Tbk.,2/2/2026,14.4B,640.114,224,2.5B,108.535,229,250.0,252.0,252.0,214.0,214.0,-36.0,-16.82%
BNI Sekuritas,NI,SCMA,Surya Citra Media Tbk.,2/2/2026,1B,46.203,225,,,,250.0,252.0,252.0,214.0,214.0,-36.0,-16.82%
MANDIRI SEKURITAS,CC,SGER,Sumber Global Energy Tbk.,1/28/2026,3.1B,"53,725",573,2.4B,"42,471",573,630.0,630.0,630.0,545.0,555.0,-85.0,-15.32%
BRI Danareksa Sekuritas,OD,SGER,Sumber Global Energy Tbk.,1/28/2026,,,,999.8M,"17,519",571,630.0,630.0,630.0,545.0,555.0,-85.0,-15.32%
MANDIRI SEKURITAS,CC,SGER,Sumber Global Energy Tbk.,1/29/2026,1.7B,"34,179",495,1.6B,"33,211",496,505.0,505.0,520.0,472.0,476.0,-79.0,-16.60%
BRI Danareksa Sekuritas,OD,SGER,Sumber Global Energy Tbk.,1/29/2026,270.7M,"5,509",491,,,,505.0,505.0,520.0,472.0,476.0,-79.0,-16.60%
MANDIRI SEKURITAS,CC,SGER,Sumber Global Energy Tbk.,1/30/2026,604.7M,"12,550",482,2.5B,"50,373",489,486.0,488.0,510.0,464.0,480.0,4.0,0.83%
BRI Danareksa Sekuritas,OD,SGER,Sumber Global Energy Tbk.,1/30/2026,,,,114M,"2,325",490,486.0,488.0,510.0,464.0,480.0,4.0,0.83%
MANDIRI SEKURITAS,CC,SGER,Sumber Global Energy Tbk.,2/2/2026,313.5M,"6,985",449,561.1M,"12,569",446,480.0,482.0,482.0,412.0,454.0,-26.0,-5.73%
MANDIRI SEKURITAS,CC,SLIS,Gaya Abadi Sempurna Tbk.,1/28/2026,1.8B,"187,479",96,1.1B,"117,767",95,103.0,103.0,104.0,91.0,91.0,-16.0,-17.58%
BNI Sekuritas,NI,SLIS,Gaya Abadi Sempurna Tbk.,1/28/2026,601.2M,"63,641",94,257.3M,"27,659",93,103.0,103.0,104.0,91.0,91.0,-16.0,-17.58%
MANDIRI SEKURITAS,CC,SLIS,Gaya Abadi Sempurna Tbk.,1/29/2026,736.7M,"88,768",83,525.3M,"61,513",85,91.0,90.0,91.0,78.0,89.0,-2.0,-2.25%
BNI Sekuritas,NI,SLIS,Gaya Abadi Sempurna Tbk.,1/29/2026,1.4B,"162,915",83,916.8M,"105,200",87,91.0,90.0,91.0,78.0,89.0,-2.0,-2.25%
BRI Danareksa Sekuritas,OD,SLIS,Gaya Abadi Sempurna Tbk.,1/29/2026,67.7M,"7,824",87,,,,91.0,90.0,91.0,78.0,89.0,-2.0,-2.25%
MANDIRI SEKURITAS,CC,SLIS,Gaya Abadi Sempurna Tbk.,1/30/2026,704.8M,"79,262",89,1.2B,"132,460",92,90.0,90.0,96.0,85.0,89.0,0.0,0.00%
BNI Sekuritas,NI,SLIS,Gaya Abadi Sempurna Tbk.,1/30/2026,300.6M,"33,290",90,55.4M,"5,963",93,90.0,90.0,96.0,85.0,89.0,0.0,0.00%
BRI Danareksa Sekuritas,OD,SLIS,Gaya Abadi Sempurna Tbk.,1/30/2026,84.9M,"9,412",90,38.6M,"4,329",89,90.0,90.0,96.0,85.0,89.0,0.0,0.00%
MANDIRI SEKURITAS,CC,SLIS,Gaya Abadi Sempurna Tbk.,2/2/2026,937.6M,"117,254",80,405.9M,"50,826",80,89.0,89.0,89.0,76.0,76.0,-13.0,-17.11%
BNI Sekuritas,NI,SLIS,Gaya Abadi Sempurna Tbk.,2/2/2026,156.5M,"20,130",78,403.5M,"52,096",77,89.0,89.0,89.0,76.0,76.0,-13.0,-17.11%
BRI Danareksa Sekuritas,OD,SLIS,Gaya Abadi Sempurna Tbk.,2/2/2026,,,,54.9M,"7,109",77,89.0,89.0,89.0,76.0,76.0,-13.0,-17.11%
MANDIRI SEKURITAS,CC,SOFA,Solusi Environment Asia Tbk.,1/28/2026,1.9B,44.804,418,461.3M,11.067,417,0.0,0.0,462.0,414.0,414.0,-46.0,-11.11%
BNI Sekuritas,NI,SOFA,Solusi Environment Asia Tbk.,1/28/2026,508.3M,12.228,416,109.7M,2.617,419,0.0,0.0,462.0,414.0,414.0,-46.0,-11.11%
BRI Danareksa Sekuritas,OD,SOFA,Solusi Environment Asia Tbk.,1/28/2026,1.4B,32.68,418,,,,0.0,0.0,462.0,414.0,414.0,-46.0,-11.11%
MANDIRI SEKURITAS,CC,SOFA,Solusi Environment Asia Tbk.,1/29/2026,2.3B,59.99,375,587.9M,15.592,377,0.0,0.0,408.0,374.0,388.0,-26.0,-6.70%
BNI Sekuritas,NI,SOFA,Solusi Environment Asia Tbk.,1/29/2026,399.4M,10.679,374,,,,0.0,0.0,408.0,374.0,388.0,-26.0,-6.70%
MANDIRI SEKURITAS,CC,SOFA,Solusi Environment Asia Tbk.,1/30/2026,979.4M,25.818,379,731.1M,18.977,385,0.0,0.0,404.0,360.0,382.0,-6.0,-1.57%
BNI Sekuritas,NI,SOFA,Solusi Environment Asia Tbk.,1/30/2026,35.6M,916,388,50.7M,1.328,382,0.0,0.0,404.0,360.0,382.0,-6.0,-1.57%
MANDIRI SEKURITAS,CC,SOFA,Solusi Environment Asia Tbk.,2/2/2026,3.6B,100.596,359,574.8M,15.549,370,0.0,0.0,420.0,344.0,344.0,-38.0,-11.05%
MANDIRI SEKURITAS,CC,SOTS,Satria Mega Kencana Tbk.,1/29/2026,23.1M,51,"4,530",,,,0.0,0.0,4530.0,4530.0,4530.0,-495.0,-10.93%
BRI Danareksa Sekuritas,OD,SOTS,Satria Mega Kencana Tbk.,1/29/2026,,,,56.6M,125,"4,530",0.0,0.0,4530.0,4530.0,4530.0,-495.0,-10.93%
MANDIRI SEKURITAS,CC,SOTS,Satria Mega Kencana Tbk.,1/30/2026,10.2M,25,"4,080",,,,0.0,0.0,4080.0,4080.0,4080.0,-450.0,-11.03%
BRI Danareksa Sekuritas,OD,SOTS,Satria Mega Kencana Tbk.,1/30/2026,76.7M,188,"4,080",51.8M,127,"4,080",0.0,0.0,4080.0,4080.0,4080.0,-450.0,-11.03%
MANDIRI SEKURITAS,CC,SOTS,Satria Mega Kencana Tbk.,2/2/2026,87.6M,238,"3,680",,,,0.0,0.0,3680.0,3680.0,3680.0,-400.0,-10.87%
BRI Danareksa Sekuritas,OD,SOTS,Satria Mega Kencana Tbk.,2/2/2026,,,,39M,106,"3,680",0.0,0.0,3680.0,3680.0,3680.0,-400.0,-10.87%
MANDIRI SEKURITAS,CC,SURI,Maja Agung Latexindo Tbk.,1/28/2026,334.4M,36.762,91,120.2M,13.067,92,97.0,97.0,98.0,85.0,85.0,-14.0,-16.47%
BNI Sekuritas,NI,SURI,Maja Agung Latexindo Tbk.,1/28/2026,198.5M,21.914,91,,,,97.0,97.0,98.0,85.0,85.0,-14.0,-16.47%
BRI Danareksa Sekuritas,OD,SURI,Maja Agung Latexindo Tbk.,1/28/2026,31.1M,3.517,88,,,,97.0,97.0,98.0,85.0,85.0,-14.0,-16.47%
