Nama Broker,Kode Broker,Nama Emiten,Nama Perusahaan,Tanggal,Buy Value,Buy Lot,Buy Avg,Sell Value,Sell Lot,Sell Avg,Open Price,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Persentase Selisih
MANDIRI SEKURITAS,CC,PADA,Personel Alih Daya Tbk.,1/29/2026,3.8B,171.559,222,1.6B,71.331,221,212.0,214.0,238.0,212.0,230.0,-18.0,-7.83%
BRI Danareksa Sekuritas,OD,PADA,Personel Alih Daya Tbk.,1/29/2026,,,,792M,36.308,218,212.0,214.0,238.0,212.0,230.0,-18.0,-7.83%
MANDIRI SEKURITAS,CC,PADA,Personel Alih Daya Tbk.,1/30/2026,1.9B,84.114,230,855.2M,36.73,233,246.0,246.0,248.0,199.0,228.0,-2.0,-0.88%
BNI Sekuritas,NI,PADA,Personel Alih Daya Tbk.,1/30/2026,154.2M,6.778,227,263.3M,11.658,226,246.0,246.0,248.0,199.0,228.0,-2.0,-0.88%
MANDIRI SEKURITAS,CC,PADA,Personel Alih Daya Tbk.,2/2/2026,546.6M,27.232,201,154.4M,7.539,205,230.0,230.0,232.0,194.0,194.0,-34.0,-17.53%
MANDIRI SEKURITAS,CC,PADI,Minna Padi Investama Sekuritas Tbk.,1/28/2026,81M,"5,000",162,,,,0.0,0.0,162.0,162.0,162.0,-18.0,-11.11%
BRI Danareksa Sekuritas,OD,PADI,Minna Padi Investama Sekuritas Tbk.,1/28/2026,19.2M,"1,183",162,,,,0.0,0.0,162.0,162.0,162.0,-18.0,-11.11%
MANDIRI SEKURITAS,CC,PADI,Minna Padi Investama Sekuritas Tbk.,1/29/2026,26.4M,"1,808",146,,,,0.0,0.0,146.0,146.0,146.0,-16.0,-10.96%
BNI Sekuritas,NI,PADI,Minna Padi Investama Sekuritas Tbk.,1/29/2026,21.2M,"1,452",146,,,,0.0,0.0,146.0,146.0,146.0,-16.0,-10.96%
MANDIRI SEKURITAS,CC,PADI,Minna Padi Investama Sekuritas Tbk.,1/30/2026,330.2M,"23,487",141,1.6B,"111,866",142,0.0,0.0,146.0,132.0,146.0,0.0,0.00%
MANDIRI SEKURITAS,CC,PADI,Minna Padi Investama Sekuritas Tbk.,2/2/2026,21.5M,"1,626",132,660K,50,132,0.0,0.0,132.0,132.0,132.0,-14.0,-10.61%
BNI Sekuritas,NI,PADI,Minna Padi Investama Sekuritas Tbk.,2/2/2026,74.5M,"5,642",132,,,,0.0,0.0,132.0,132.0,132.0,-14.0,-10.61%
BRI Danareksa Sekuritas,OD,PADI,Minna Padi Investama Sekuritas Tbk.,2/2/2026,7M,527,132,85.8M,"6,500",132,0.0,0.0,132.0,132.0,132.0,-14.0,-10.61%
MANDIRI SEKURITAS,CC,PANI,Pantai Indah Kapuk Dua Tbk.,1/28/2026,23B,23.813,9.651,15.1B,15.509,9.726,9575.0,9575.0,9950.0,9575.0,9575.0,-1675.0,-17.49%
